Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Maruti Suzuki Celerio,Bangalore,23492,Petrol,2,2016,425899
Maruti Suzuki S,Pune,69524,Diesel,2,2017,992199
Maruti Suzuki Alto,Chennai,56719,Petrol,2,2014,275799
Maruti Suzuki Swift,Hyderabad,59888,Petrol,0,2017,550000
Maruti Suzuki Wagon,Bangalore,29297,Petrol,1,2015,392099
Ford Endeavor 4X4,Kolkata,25000,Diesel,1,2011,898888
Renault Kwid RxL,Bangalore,21627,Petrol,3,2016,340099
Chevrolet Aveo ,Chennai,63000,Petrol,0,2007,67000
Jeep Compass ,Chennai,51983,Diesel,2,2018,1465199
Mahindra Scorpio 2.6,Jaipur,85000,Diesel,0,2007,225000
Ford EcoSport Titanium,Bangalore,46000,Diesel,0,2016,825000
Maruti Suzuki Celerio,Chennai,32000,Petrol,1,2019,0
Ford Ikon ,Chennai,73000,Petrol,0,2009,59000
Maruti Suzuki Ritz,Pune,81000,Petrol,0,2013,360000
Maruti Suzuki Swift,Chennai,81152,Diesel,0,2011,390000
Hyundai i20 Sportz,Bangalore,16000,Petrol,1,2012,439000
Maruti Suzuki Wagon,Bangalore,44000,Petrol,0,2016,465000
Skoda Rapid ,Pune,56523,Diesel,2,2017,786799
Hyundai Santro GLS,Pune,58000,Petrol,0,2007,135000
Hyundai Grand i10,Chennai,60307,Petrol,1,2020,698199
Maruti Suzuki Alto,Pune,28674,Petrol,2,2016,279799
Hyundai Grand i10,Chennai,8825,Petrol,1,2021,764199
Volkswagen Polo GT,Pune,118000,Petrol,0,2014,450000
Ford Ecosport ,Pune,8925,Petrol,2,2018,727299
Maruti Suzuki Wagon,Chennai,18932,Petrol,1,2017,417299
Hyundai Creta 1.6,Pondicherry,23000,Diesel,0,2020,1575000
Hyundai Elite i20,Kolkata,39000,Petrol,0,2015,430000
Maruti Suzuki Alto,Pune,57000,Petrol,0,2009,145000
Hyundai i10 Magna,Chennai,36129,Petrol,2,2016,398499
Maruti Suzuki Swift,Chennai,57444,Petrol,1,2015,492099
Hyundai Santro ASTA,Bangalore,13858,Petrol,1,2019,579899
Maruti Suzuki Swift,Chennai,75691,Diesel,2,2017,580599
Toyota Etios GD,Chennai,150000,Diesel,0,2012,325000
Maruti Suzuki Ertiga,Chennai,86576,Diesel,2,2016,755199
Maruti Suzuki Alto,Bangalore,65951,Petrol,2,2014,344199
Maruti Suzuki Alto,Chennai,85000,Petrol,0,2001,79000
MG Motors Hector,Surat,16000,Petrol,1,2020,1401000
Hyundai Venue ,Chennai,16112,Petrol,2,2019,1019699
Hyundai Verna 1.6,Chennai,48877,Diesel,0,2016,690000
Maruti Suzuki Ciaz,Bangalore,23761,Petrol,2,2018,849599
Renault Triber ,Chennai,27805,Petrol,2,2019,695099
Hyundai Grand i10,Pune,21372,Petrol,2,2016,526399
Hyundai Verna 1.6,Pune,33340,Petrol,1,2018,862399
Ford Ecosport ,Pune,42837,Petrol,2,2017,772799
Maruti Suzuki Baleno,Pune,85000,Petrol,0,2017,610000
MG Motors Hector,Bangalore,11292,Diesel,2,2019,1800299
Ford Ecosport ,Chennai,53306,Diesel,2,2016,656699
Hyundai i10 Magna,Bangalore,59819,Petrol,2,2015,387099
Maruti Suzuki Celerio,Bangalore,37739,Petrol,2,2017,496399
Renault Kwid RxL,Bangalore,26700,Petrol,2,2017,369599
Maruti Suzuki Swift,Pune,30601,Petrol,1,2014,447599
Maruti Suzuki Swift,Pune,53245,Diesel,1,2017,638499
Volkswagen Polo ,Pune,27995,Petrol,2,2016,530699
Hyundai i20 Era,Chennai,55000,Diesel,0,2018,550000
Maruti Suzuki Eeco,Chennai,7679,Petrol,2,2020,516599
Maruti Suzuki Alto,Pune,7877,Petrol,2,2018,443899
Tata Nexon ,Bangalore,12978,Petrol,1,2020,1043299
Maruti Suzuki Wagon,Chennai,31284,Petrol,2,2014,399899
Honda City VX,Pune,55953,Petrol,1,2015,714899
Ford EcoSport Ambiente,Chennai,87000,Diesel,1,2013,420000
Hyundai Verna ,Pune,13691,Petrol,2,2018,1171199
Maruti Suzuki Ertiga,Pune,69654,Diesel,2,2016,811799
Ford Ecosport ,Pune,34642,Petrol,2,2019,1045799
Tata Tiago ,Bangalore,26237,Petrol,3,2017,529199
Mahindra Scorpio 2.6,Chennai,81500,Diesel,0,2014,710000
Hyundai Verna 1.6,Pune,27357,Petrol,1,2017,683999
Maruti Suzuki Wagon,Bangalore,74510,Petrol,1,2016,377899
Hyundai Venue S,Bangalore,23096,Petrol,1,2020,840699
Hyundai Eon Era,Pune,47000,CNG,0,2014,275000
Hyundai Elite i20,Pune,70646,Petrol,2,2014,549899
Maruti Suzuki Baleno,Pune,9085,Petrol,1,2020,765599
Volkswagen Polo Comfortline,Chennai,30123,Petrol,0,2018,675000
Maruti Suzuki Wagon,Pune,23425,Petrol,2,2019,610099
Land Rover Range,Chennai,51000,Diesel,0,2017,4490000
Maruti Suzuki Alto,Bangalore,47120,Petrol,2,2018,413099
Maruti Suzuki Wagon,Bangalore,53525,Petrol,2,2012,354599
Maruti Suzuki Alto,Chennai,58000,Petrol,0,2007,69000
Maruti Suzuki Alto,Bangalore,21492,Petrol,2,2016,426199
Maruti Suzuki Wagon,Pune,33687,Petrol,2,2015,473299
Maruti Suzuki Swift,Chennai,41912,Petrol,2,2016,553899
Kia Seltos HTX,Ahmedabad,5600,Diesel,1,2021,1501000
Maruti Suzuki Swift,Bangalore,36277,Petrol,2,2017,675099
Maruti Suzuki Alto,Chennai,39845,Petrol,3,2014,254499
Hyundai Creta 1.6,Chennai,58460,Diesel,1,2019,725000
Ford Ikon ,Chennai,73000,Petrol,0,2007,39000
Maruti Suzuki Vitara,Pune,69807,Diesel,2,2019,906899
Maruti Suzuki Baleno,Bangalore,22394,Petrol,2,2017,566899
Hyundai Grand i10,Bangalore,26543,Petrol,2,2020,637599
Renault Duster 110PS,Pune,85000,Diesel,0,2013,550000
Renault Triber 1.0,Chennai,13739,Petrol,1,2019,725399
Mahindra TUV300 ,Pune,70317,Diesel,1,2015,666899
Tata Nexon ,Pune,9616,Petrol,2,2020,971299
Ford Ecosport ,Pune,44705,Petrol,2,2018,917599
Tata Indigo CS,Chennai,90000,Diesel,0,2016,210000
Maruti Suzuki Alto,Chennai,68041,Petrol,2,2017,302699
Maruti Suzuki Alto,Pune,33004,Petrol,2,2018,350599
Hyundai Grand i10,Chennai,52030,Diesel,2,2017,557599
Hyundai Elite i20,Pune,49189,Petrol,2,2015,589299
Hyundai Grand i10,Pune,71423,Petrol,2,2015,451799
Hyundai Santro GLS,Uttarpara,61000,Petrol,0,2008,90000
Volkswagen Polo ,Pune,41218,Petrol,1,2017,714999
Toyota Innova 2.5,Bangalore,210000,Diesel,1,2013,1175000
Maruti Suzuki Alto,Pune,11057,Petrol,2,2015,288399
Maruti Suzuki Baleno,Pune,25021,Petrol,2,2016,620399
Maruti Suzuki Eeco,Bangalore,24484,Petrol,2,2019,473699
Hyundai Venue ,Bangalore,28149,Petrol,1,2019,1221799
Maruti Suzuki Vitara,Pune,32482,Diesel,2,2017,920999
Hyundai Verna ,Chennai,87381,Petrol,2,2017,682799
Jaguar XF 2.2,Mumbai,20000,Diesel,2,2014,2150000
Honda City ZX,Chennai,75000,Petrol,0,2008,250000
Chevrolet Aveo ,Chennai,79000,Petrol,0,2006,69000
Maruti Suzuki Alto,Bangalore,48378,Petrol,1,2016,366299
Maruti Suzuki Alto,Pune,57993,Petrol,3,2011,214199
Maruti Suzuki Baleno,Pune,10246,Petrol,2,2018,684699
Tata Tiago ,Pune,28495,Petrol,1,2018,543399
Tata Indica ,Chennai,67000,Diesel,0,2011,89000
Maruti Suzuki Swift,Pune,29467,Petrol,1,2014,447599
Mahindra Jeep CL,Ahmedabad,25,Diesel,0,2020,480000
Jeep Compass ,Pune,70650,Diesel,1,2017,1421599
Honda City V,Pune,26956,Petrol,2,2018,1082299
Hyundai Grand i10,Bangalore,42836,Petrol,2,2013,498999
Hyundai Grand i10,Pune,29762,Petrol,2,2015,433999
Maruti Suzuki Wagon,Chennai,60000,Petrol,1,2014,325000
Maruti Suzuki Celerio,Bangalore,44690,Petrol,1,2017,471899
Maruti Suzuki Ertiga,Nagpur,91000,Diesel,0,2014,650000
Maruti Suzuki Baleno,Chennai,34010,Petrol,2,2019,659099
Maruti Suzuki Wagon,Pune,15840,Petrol,2,2017,490199
Hyundai Grand i10,Pune,20393,Petrol,2,2017,494099
Hyundai Creta ,Pune,99138,Diesel,2,2015,896099
Toyota Fortuner 4x4,Kolkata,72000,Diesel,1,2015,1595000
Maruti Suzuki Eeco,Trichy,13000,Petrol,0,2020,525000
Toyota Corolla H5,Chennai,80000,Petrol,0,2006,170000
Toyota Innova 2.0,Pune,124000,Diesel,0,2009,455000
Mercedes Benz GL,Mumbai,105000,Diesel,0,2016,4450000
Toyota Innova 2.5,Chennai,70000,Diesel,0,2014,1350000
Hyundai Grand i10,Pune,11203,Petrol,2,2017,638599
Chevrolet Beat ,Chennai,56000,Petrol,0,2011,86000
Jeep Compass Limited,Mumbai,10000,Diesel,0,2021,3000000
