Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Ford Figo Duratec,Bangalore,35056,Petrol,0,2015,380000
Maruti Suzuki Wagon,Bangalore,44000,Petrol,0,2016,465000
Hyundai Creta 1.6,Bangalore,42917,Petrol,0,2018,1350000
Hyundai Venue ,Chennai,16112,Petrol,2,2019,1019699
Honda Jazz ,Pune,30988,Petrol,2,2017,713499
Hyundai i20 ,Pune,69163,Diesel,2,2013,391099
Maruti Suzuki Swift,Pune,42859,Petrol,2,2015,474299
Toyota Corolla Altis,Pune,34919,Petrol,1,2017,1252999
Honda Amaze ,Pune,44940,Petrol,0,2013,393699
Hyundai Elite i20,Pune,13687,Petrol,1,2017,730899
Maruti Suzuki Alto,Pune,29848,Petrol,2,2018,343099
Honda Jazz ,Pune,21426,Petrol,2,2018,707599
Maruti Suzuki Baleno,Pune,68177,Diesel,2,2016,688899
Jeep Compass ,Pune,70650,Diesel,1,2017,1421599
Maruti Suzuki Alto,Pune,25730,Petrol,2,2017,399999
Kia Seltos ,Pune,47096,Petrol,2,2019,1473299
Toyota Innova 2.5,Bangalore,131000,Diesel,0,2012,1025000
Hyundai Elite i20,Bangalore,26000,Petrol,0,2016,735000
Hyundai Creta 1.6,Chennai,58460,Diesel,1,2019,600000
Kia Seltos ,Chennai,48000,Petrol,1,2020,800000
Maruti Suzuki Ciaz,Hyderabad,26600,Petrol,0,2017,700000
Ford EcoSport Titanium,Faridabad,36000,Petrol,0,2019,820000
Tata Nano Twist,Chennai,39500,Petrol,0,2014,195000
Audi Q7 3.0,Chennai,76000,Diesel,0,2011,1850000
Ford Ecosport ,Pune,23698,Petrol,1,2017,807499
Hyundai Grand i10,Pune,37860,Petrol,2,2016,522999
Maruti Suzuki Swift,Pune,91830,Petrol,2,2015,474299
Hyundai Elite i20,Pune,31172,Petrol,2,2019,740899
Toyota Yaris ,Pune,3243,Petrol,2,2021,1141999
Tata Nexon ,Pune,9616,Petrol,2,2020,971299
Maruti Suzuki Baleno,Pune,30249,Petrol,2,2017,640999
Maruti Suzuki Baleno,Pune,60875,Petrol,2,2019,676199
Maruti Suzuki Swift,Chennai,25740,Petrol,2,2017,562399
Ford Ecosport 1.0,Pune,38587,Petrol,2,2014,580899
Renault Triber ,Pune,3108,Petrol,2,2021,770999
Honda Amaze ,Pune,35353,Petrol,2,2016,531399
Hyundai EON Magna,Pune,34748,Petrol,2,2017,367299
Maruti Suzuki Alto,Pune,2359,Petrol,2,2020,412199
Hyundai Creta S,Pune,17814,Diesel,2,2020,1460099
Maruti Suzuki Baleno,Pune,68934,Petrol,2,2018,618699
Hyundai i20 Asta,Bangalore,72600,Petrol,2,2014,485000
BMW 3 Series,Chennai,81000,Diesel,0,2010,890000
Nissan Micra XV,Chennai,80000,Diesel,1,2012,245000
Toyota Glanza V,Bangalore,12000,Petrol,0,2020,945000
Maruti Suzuki Swift,Bangalore,6000,Petrol,0,2016,590000
Honda Brio S,Bangalore,56000,Petrol,0,2017,495000
Maruti Suzuki Wagon,Bangalore,56000,Petrol,0,2017,475000
MG Motors Hector,Chennai,36000,Diesel,1,2020,1200000
Maruti Suzuki Wagon,Pune,15840,Petrol,2,2017,490199
Maruti Suzuki Vitara,Pune,32482,Diesel,2,2017,920999
Honda City ,Pune,113779,Diesel,2,2014,554399
Maruti Suzuki Wagon,Pune,26150,Petrol,2,2017,408999
Mahindra XUV 500,Pune,34555,Diesel,2,2018,1248299
Maruti Suzuki Baleno,Pune,30880,Petrol,1,2018,636099
Hyundai i20 Asta,Pune,70423,Petrol,1,2013,452699
Hyundai Elite i20,Pune,30232,Diesel,2,2018,704399
Volkswagen Polo ,Pune,50077,Petrol,2,2016,553599
Ford Ecosport ,Pune,18482,Diesel,2,2018,999599
Maruti Suzuki Baleno,Pune,10246,Petrol,2,2018,684699
Maruti Suzuki Baleno,Pune,25021,Petrol,2,2016,620399
Hyundai Elite i20,Pune,70646,Petrol,2,2014,549899
Maruti Suzuki Vitara,Pune,45490,Diesel,2,2018,812899
Ford Ecosport ,Chennai,53306,Diesel,2,2016,656699
Hyundai Creta 1.6,Chennai,58460,Diesel,1,2019,725000
Hyundai Venue ,Chennai,29000,Diesel,1,2019,600000
Volvo XC90 D5,Chennai,110000,Diesel,0,2016,3700000
Mahindra XUV 500,Chennai,95000,Diesel,0,2013,735000
Toyota Fortuner 3.0,Chennai,170000,Diesel,0,2012,1350000
Honda Jazz VX,Pune,80000,Petrol,0,2013,365000
Hyundai i10 Asta,Pune,58000,Petrol,0,2011,280000
Tata Nexon XM,Pune,22000,Diesel,0,2019,840000
Hyundai Creta 1.6,Pune,69215,Petrol,1,2017,818599
Hyundai Verna 1.6,Pune,33340,Petrol,1,2018,862399
Renault Triber ,Pune,9783,Petrol,2,2019,673599
Hyundai Santro Sportz,Pune,15110,Petrol,2,2018,528899
Maruti Suzuki S,Pune,3399,Petrol,2,2021,527999
Mahindra XUV 500,Pune,89310,Diesel,1,2013,791699
Maruti Suzuki Wagon,Chennai,53148,Petrol,1,2015,392999
Honda City VX,Pune,42020,Petrol,1,2015,690199
Maruti Suzuki Swift,Pune,74594,Diesel,2,2013,474699
MG Motors Hector,Pune,6110,Petrol,2,2021,2019899
Hyundai Grand i10,Pune,24346,Petrol,2,2017,562299
Jeep Compass ,Pune,65668,Diesel,1,2017,1400999
Renault Kwid ,Pune,48644,Petrol,2,2018,447599
Toyota Innova Crysta,Pune,36877,Diesel,2,2018,1814599
Tata Nexon ,Pune,79673,Diesel,2,2018,920399
Maruti Suzuki Swift,Pune,54352,Petrol,2,2014,447599
Tata Zest XMS,Pune,64000,Diesel,0,2016,390000
Ford Freestyle TITANIUM,Kanchipuram,54000,Diesel,0,2018,650000
Maruti Suzuki Swift,Chennai,40000,Petrol,0,2017,575000
Mahindra Xylo ,Kozhikode,107000,Diesel,1,2015,525000
Mahindra Xylo ,Kozhikode,107000,Diesel,2,2015,525000
BMW 5 Series,Kolkata,38000,Diesel,0,2011,1000000
Hyundai i20 Magna,Bangalore,86000,Petrol,0,2010,325000
Jeep Compass Limited,Mumbai,10000,Diesel,0,2021,3000000
Maruti Suzuki Alto,Pune,48658,Petrol,2,2017,343299
MG Motors Hector,Pune,11998,Petrol,2,2020,1711499
Maruti Suzuki Vitara,Pune,32513,Diesel,2,2018,918799
Hyundai Grand i10,Pune,21372,Petrol,2,2016,526399
Volkswagen Vento ,Pune,34178,Petrol,1,2017,881099
Kia Seltos ,Pune,20547,Petrol,2,2019,1764199
Maruti Suzuki Baleno,Pune,34731,Petrol,2,2016,639199
Hyundai Grand i10,Pune,30536,Petrol,1,2016,522999
MG Motors Hector,Bangalore,10205,Diesel,2,2019,1917599
Maruti Suzuki Wagon,Pune,25483,Petrol,2,2017,466599
Toyota Corolla Altis,Pune,39113,Petrol,2,2017,1397699
Maruti Suzuki Ignis,Pune,43152,Petrol,2,2017,504399
MG Motors Hector,Pune,5325,Petrol,2,2020,1920399
Ford Ecosport ,Pune,44705,Petrol,2,2018,917599
Toyota Etios ,Pune,70022,Petrol,2,2011,319099
Maruti Suzuki Celerio,Pune,47435,Petrol,2,2017,484399
Volkswagen Polo HIGHLINE1.2L,Chennai,89000,Petrol,0,2010,290000
Mahindra Thar DI,Chennai,9826,Petrol,0,2021,1790000
Ford EcoSport Trend,Chennai,83000,Diesel,0,2017,650000
Honda City 1.5,Lucknow,195000,Petrol,2,2001,73000
Toyota Innova Crysta,Chennai,35000,Diesel,0,2019,2200000
Hyundai Verna 1.6,Coimbatore,13000,Petrol,1,2022,1550000
Mahindra e2o T2,Bangalore,46000,Electric,1,2016,420000
Toyota Fortuner 4x4,Kolkata,72000,Diesel,1,2015,1595000
Hyundai Xcent ,Pune,29026,Petrol,2,2016,573499
Hyundai Creta 1.6,Pune,59258,Petrol,2,2015,879199
Mahindra XUV 500,Pune,120399,Diesel,1,2014,733399
Maruti Suzuki Vitara,Pune,28853,Diesel,2,2018,967599
Honda City ,Pune,9811,Petrol,2,2020,1539299
Hyundai i20 Active,Pune,43538,Petrol,2,2015,561499
Hyundai Creta ,Pune,66400,Petrol,2,2017,1042699
Maruti Suzuki S,Pune,59341,Diesel,2,2017,1032099
Hyundai Creta ,Pune,56246,Petrol,2,2016,903499
Honda Amaze ,Pune,35944,Petrol,2,2014,472499
Honda WR V,Pune,17699,Petrol,2,2018,771299
Maruti Suzuki Wagon,Pune,41065,Petrol,2,2017,447099
Renault Kwid ,Pune,2311,Petrol,2,2019,504599
Hyundai Grand i10,Pune,2991,Petrol,2,2018,620999
Hyundai Grand i10,Pune,29762,Petrol,2,2015,433999
Skoda Rapid ,Pune,91917,Diesel,2,2016,627499
Maruti Suzuki Swift,Delhi,0,Diesel,0,2014,360000
Toyota Fortuner 3.0,Bangalore,131000,Diesel,0,2012,1375000
Maruti Suzuki 800,Chennai,85000,Petrol,0,2000,69000
Tata Nano ,Chennai,37000,Petrol,0,2011,89000
Tata Indica ,Chennai,67000,Diesel,0,2011,89000
Audi Q7 3.0,Mumbai,120000,Diesel,0,2013,2200000
Jaguar XJ L,Mumbai,71000,Diesel,0,2016,4425000
Mercedes Benz GL,Mumbai,105000,Diesel,0,2016,4450000
Maruti Suzuki Dzire,Pune,30771,Petrol,2,2018,704199
Hyundai Santro Sportz,Pune,29488,Petrol,2,2018,513099
Renault Kwid ,Pune,36559,Petrol,2,2019,469399
Honda WR V,Pune,38242,Diesel,2,2018,844199
Maruti Suzuki Ignis,Pune,66426,Petrol,1,2017,544799
Volkswagen Polo ,Pune,16950,Petrol,2,2018,710899
Maruti Suzuki Baleno,Pune,18866,Petrol,2,2016,580599
Maruti Suzuki Swift,Pune,53245,Diesel,1,2017,638499
Hyundai Verna ,Pune,44543,Petrol,1,2016,654699
Maruti Suzuki S,Pune,50128,Diesel,1,2018,894199
Maruti Suzuki S,Pune,56349,Diesel,2,2018,858599
Maruti Suzuki S,Pune,69524,Diesel,2,2017,992199
Volkswagen Polo ,Pune,41218,Petrol,1,2017,714999
Maruti Suzuki Baleno,Pune,9085,Petrol,1,2020,765599
MG Motors Hector,Bangalore,11292,Diesel,2,2019,1800299
Mercedes Benz C,Mumbai,75000,Diesel,2,2011,1190000
Hyundai Creta 1.6,Hyderabad,28000,Diesel,0,2018,1452000
Skoda Rapid Style,Hyderabad,48000,Diesel,0,2018,1026000
Maruti Suzuki Ertiga,Hyderabad,51000,Diesel,0,2017,821000
Hyundai Grand i10,Chennai,24990,Petrol,0,2020,725000
Maruti Suzuki Ertiga,Delhi,48600,Diesel,1,2015,600000
Maruti Suzuki Alto,Delhi,3600,Petrol,1,2019,336000
Tata Indigo eCS,Nanded,115000,Diesel,0,2012,200000
Maruti Suzuki Dzire,Pune,29594,Petrol,2,2019,680699
Honda City VX,Pune,55953,Petrol,1,2015,714899
Maruti Suzuki Alto,Pune,16980,Petrol,1,2016,316799
Ford Ecosport ,Pune,41828,Diesel,2,2016,675099
Maruti Suzuki S,Pune,64803,Diesel,2,2018,1057399
Maruti Suzuki Ertiga,Pune,44460,Diesel,2,2018,938099
Tata Nexon ,Pune,14276,Diesel,2,2018,1057699
Maruti Suzuki Wagon,Pune,23425,Petrol,2,2019,610099
Maruti Suzuki Alto,Pune,23056,Petrol,2,2018,452199
Hyundai Elite i20,Pune,16102,Petrol,2,2019,712699
Maruti Suzuki Vitara,Pune,56615,Diesel,1,2019,838699
Mahindra TUV300 ,Pune,70317,Diesel,1,2015,666899
MG Motors Hector,Bangalore,6760,Petrol,2,2020,1681899
MG Motors Hector,Chennai,8870,Petrol,2,2020,1854599
Maruti Suzuki Baleno,Pune,78209,Petrol,1,2016,571499
Volkswagen Vento ,Pune,64292,Petrol,2,2015,589199
Toyota Innova Crysta,Chennai,57000,Diesel,0,2020,2350000
Toyota Fortuner ,Chennai,42000,Diesel,0,2019,3650000
Toyota Innova 2.5,Hyderabad,141000,Diesel,0,2011,445000
Ssangyong Rexton RX7,Malappuram,82000,Diesel,0,2017,1231000
Toyota Fortuner 3.0,Chandigarh,117000,Diesel,2,2012,1231000
Mahindra TUV300 T8,Chennai,70000,Diesel,0,2015,600000
Hyundai i20 Magna,Bangalore,89450,Diesel,2,2011,320000
Maruti Suzuki Ertiga,Madurai,29000,Petrol,0,2020,1175000
Maruti Suzuki Alto,Pune,58771,Petrol,2,2015,351699
Maruti Suzuki Alto,Pune,53266,Petrol,2,2016,299199
Honda Amaze ,Pune,9200,Petrol,2,2019,657199
Ford Ecosport ,Pune,61721,Petrol,2,2014,539299
Hyundai Grand i10,Pune,18333,Petrol,2,2017,608399
Ford Ecosport ,Pune,51780,Petrol,2,2019,1042799
Maruti Suzuki Baleno,Pune,30854,Petrol,2,2018,645199
Ford Ecosport ,Pune,24680,Petrol,2,2017,811899
