iter	RMSE
0	485667.6228
1	480392.777
2	475530.5113
3	470051.2761
4	465330.1915
5	460096.8706
6	455401.2823
7	451268.0051
8	446362.478
9	442059.7745
10	438128.5529
11	434862.9128
12	431273.0786
13	428162.4332
14	425301.7014
15	421755.4814
16	419351.9751
17	415929.7132
18	412455.2702
19	411495.1634
20	409248.2457
21	406499.1817
22	403811.5837
23	402820.1662
24	400336.0791
25	397939.608
26	395481.8153
27	392837.9085
28	390342.3434
29	388049.0359
30	387277.6315
31	386461.6352
32	384361.5257
33	382537.6928
34	381833.6703
35	381227.5099
36	379175.6221
37	378522.0834
38	376456.0284
39	374505.195
40	373817.757
41	371798.9438
42	370655.2821
43	370007.7618
44	368336.1769
45	367719.2976
46	367019.4996
47	366344.6275
48	364821.1902
49	363281.5488
50	361828.4932
51	361405.395
52	360772.8172
53	360030.7456
54	358775.2648
55	357856.4952
56	356180.4383
57	355432.0321
58	354868.3449
59	354457.4289
60	353642.1366
61	352842.4461
62	352451.3788
63	351908.2537
64	350861.1501
65	350316.6024
66	349655.7331
67	348851.5637
68	347908.9912
69	347471.4292
70	346316.5144
71	344969.5489
72	343677.7345
73	343214.2486
74	342019.5512
75	340596.5601
76	340114.4411
77	339680.4154
78	339013.6479
79	337785.0998
80	337350.5113
81	336117.1442
82	334779.7056
83	333924.4505
84	333418.184
85	332928.5545
86	332369.5313
87	331565.0369
88	330496.291
89	329104.9983
90	327938.8875
91	327017.737
92	326573.6448
93	326087.4964
94	325315.8739
95	324890.0244
96	324335.6037
97	323449.2668
98	323054.1349
99	322216.4023
100	321101.1231
101	320755.6156
102	320331.6589
103	319878.3722
104	319501.4578
105	318823.5807
106	318514.8917
107	318165.3251
108	317822.1423
109	316788.4431
110	316353.1939
111	315885.7822
112	315625.0577
113	315248.066
114	314162.6578
115	313837.2971
116	313485.1395
117	313054.014
118	312549.9295
119	311918.2523
120	311501.6403
121	310804.3091
122	310125.675
123	309739.8473
124	309321.656
125	308652.923
126	308243.2832
127	307799.9826
128	307129.7006
129	306579.3629
130	306261.9247
131	305624.8622
132	305132.7193
133	304787.2105
134	304314.8786
135	303890.6594
136	303529.1651
137	303039.2343
138	302359.1842
139	301483.9635
140	300934.2991
141	300109.5207
142	299216.5359
143	298433.9301
144	297983.3082
145	297219.7421
146	296904.903
147	296532.2598
148	295563.1974
149	295103.9656
150	294753.3407
151	294010.9638
152	293662.0248
153	293284.3596
154	292408.4357
155	291460.372
156	291120.4317
157	290642.7564
158	289651.4733
159	289308.7889
160	288955.272
161	288680.3553
162	288279.8186
163	287836.8443
164	287503.3587
165	286732.6857
166	286305.6011
167	285941.3238
168	285061.4511
169	284432.9353
170	283602.7884
171	283020.4019
172	282240.9652
173	281850.063
174	281441.7471
175	280782.9404
176	280396.3503
177	279940.6557
178	279244.3959
179	278491.3476
180	278097.0459
181	277262.3955
182	276922.1485
183	276220.0383
184	275833.2478
185	274987.4264
186	274683.6993
187	274371.0876
188	273982.6222
189	273619.385
190	273086.5259
191	272721.505
192	272369.8632
193	272019.1179
194	271508.002
195	271155.9856
196	270830.2948
197	270489.4164
198	269762.4471
199	268891.824
200	268554.1852
201	267747.7923
202	267353.4193
203	266396.6673
204	266035.0029
205	265718.4294
206	265393.6589
207	264874.696
208	264562.6131
209	264248.7308
210	263964.634
211	263623.5598
212	263285.1826
213	262605.2824
214	261924.6148
215	261181.8057
216	260883.8565
217	260592.3418
218	260300.1871
219	259985.078
220	259460.1766
221	259174.2996
222	258405.8079
223	258097.5749
224	257429.2514
225	256752.7582
226	256475.8257
227	255919.3187
228	255511.3774
229	255236.6979
230	254969.1721
231	254346.6779
232	254077.2486
233	253811.155
234	253551.6008
235	253241.4486
236	252938.4031
237	252250.6312
238	251996.6918
239	251747.725
240	251454.4897
241	250893.7585
242	250299.189
243	250007.6712
244	249762.6186
245	249520.0807
246	249280.8542
247	248804.9127
248	248160.6303
249	247883.0684
250	247650.707
251	247418.8117
252	247187.8193
253	246919.254
254	246480.6418
255	245849.5712
256	245624.241
257	245363.9055
258	245143.1742
259	244615.9554
260	244134.5538
261	243744.6313
262	243523.8821
263	243044.0397
264	242825.0072
265	242609.3496
266	242395.667
267	242184.3285
268	241825.5049
269	241343.3623
270	241133.2818
271	240890.9236
272	240424.2578
273	239833.0891
274	239626.7758
275	239389.0512
276	239186.222
277	238985.7509
278	238786.6241
279	238448.5664
280	238252.4726
281	238056.9972
282	237542.6756
283	236986.6499
284	236638.5237
285	236444.4944
286	236252.5054
287	236017.7239
288	235532.5486
289	235341.9481
290	234956.8544
291	234768.7101
292	234582.1311
293	234381.5405
294	234198.5059
295	234000.1639
296	233804.8778
297	233308.571
298	232922.9677
299	232728.829
300	232537.1941
301	232347.9199
302	232161.0343
303	231977.1193
304	231794.2862
305	231614.3476
306	231436.4193
307	231260.6272
308	231087.1525
309	230915.3475
310	230745.7232
311	230449.6965
312	230281.8508
313	229996.1943
314	229484.4441
315	229197.3166
316	228602.2719
317	228237.1365
318	228031.733
319	227866.1448
320	227383.5958
321	227216.9932
322	226793.7199
323	226629.8188
324	226465.6997
325	226130.9637
326	225941.9698
327	225664.324
328	225404.1582
329	225242.9507
330	224870.9822
331	224710.7468
332	224550.3694
333	224392.7381
334	224141.8362
335	223854.8362
336	223698.1886
337	223494.2633
338	223339.2521
339	222878.0189
340	222724.2667
341	222307.9832
342	222067.3084
343	221914.5411
344	221762.8811
345	221612.797
346	221308.8213
347	221159.5445
348	221013.1629
349	220868.001
350	220722.2157
351	220275.5661
352	220042.2484
353	219897.2078
354	219473.5278
355	219019.8851
356	218876.8984
357	218733.7023
358	218472.6276
359	218104.9953
360	217962.265
361	217822.3785
362	217682.2044
363	217542.9747
364	217406.5737
365	217044.6993
366	216827.4819
367	216691.5543
368	216354.9708
369	216218.3189
370	216006.7323
371	215871.167
372	215738.1368
373	215606.6388
374	215336.0025
375	215182.6944
376	215050.771
377	214808.2455
378	214677.3625
379	214548.9363
380	214412.8171
381	214284.5112
382	214159.1018
383	214024.2213
384	213373.6678
385	212753.1784
386	212619.0813
387	212287.4761
388	211989.7811
389	211863.1225
390	211482.5664
391	211358.6096
392	211126.8784
393	211004.129
394	210862.9686
395	210742.0555
396	210535.3598
397	210408.166
398	210287.1119
399	210160.2065
400	210034.8115
401	209911.0082
402	209662.5131
403	209540.0735
404	209420.406
405	209300.6112
406	209182.2908
407	209066.5995
408	208950.7618
409	208836.3158
410	208463.5599
411	208349.9156
412	208119.2477
413	208007.7842
414	207896.4918
415	207727.3931
416	207604.7953
417	207243.4965
418	207134.5462
419	207014.8266
420	206787.1784
421	206667.6107
422	206551.2969
423	206433.9858
424	206318.9026
425	205964.1043
426	205848.5546
427	205735.5484
428	205625.6078
429	205515.1938
430	205404.703
431	205295.6913
432	205189.0059
433	205083.4488
434	204977.9876
435	204582.209
436	204351.0282
437	203973.4018
438	203764.9472
439	203660.8817
440	203474.5573
441	203371.5215
442	203208.0282
443	202983.3698
444	202829.144
445	202726.8204
446	202624.3471
447	202524.315
448	202141.8665
449	201696.4744
450	201366.8391
451	201265.3675
452	200737.6099
453	200400.9602
454	199991.6857
455	199834.3832
456	199597.8347
457	199335.2611
458	199189.3581
459	199089.4594
460	198910.9405
461	198575.7747
462	198475.0426
463	198365.1128
464	198266.352
465	198168.2854
466	197752.9553
467	197602.8973
468	197393.9561
469	197188.8814
470	197090.662
471	196977.8366
472	196473.673
473	195992.9158
474	195826.2592
475	195471.197
476	195372.9076
477	195275.429
478	194768.4353
479	194454.3879
480	194355.1198
481	194221.2518
482	194044.2573
483	193902.0817
484	193718.8529
485	193622.4969
486	193475.8221
487	193293.9783
488	193131.753
489	192668.1828
490	192571.497
491	192476.1802
492	192186.7805
493	192089.9517
494	191780.4967
495	191686.4999
496	191593.4141
497	191500.0449
498	191350.1369
499	191258.464
500	191044.6297
501	190913.0542
502	190521.5082
503	190075.0033
504	189761.1593
505	189402.7672
506	189259.9215
507	189165.4976
508	188947.1018
509	188654.9208
510	188563.3289
511	188413.5383
512	188322.7716
513	188199.3717
514	188109.5111
515	187834.7835
516	187743.6323
517	187326.5081
518	187237.8173
519	187150.0257
520	187064.0874
521	186977.4815
522	186774.2761
523	186525.5733
524	186349.9093
525	186211.7322
526	186070.7288
527	185906.6784
528	185820.0667
529	185732.5882
530	185647.2263
531	185562.5906
532	185478.4116
533	185394.8237
534	184891.5999
535	184496.6205
536	184203.7122
537	184119.8673
538	183846.6623
539	183763.6032
540	183587.2254
541	183336.4195
542	183078.4261
543	182995.6684
544	182879.2889
545	182608.7566
546	182133.1577
547	182050.7332
548	181925.2457
549	181841.5677
550	181752.4546
551	181498.8025
552	181418.2435
553	181306.3477
554	181140.6499
555	181060.6314
556	180892.152
557	180812.7026
558	180419.0656
559	180286.7583
560	180052.2593
561	179666.8556
562	179587.1705
563	179506.6891
564	179426.938
565	179302.8545
566	179225.2448
567	179137.8446
568	179029.5297
569	178712.7971
570	178585.4481
